瀬戸大也,2009,JSS毛呂山,1:55.31,2010年01月31日(日)
瀬戸大也,2010,ＪＳＳ毛呂山,1:56.88,2010年05月09日(日)
瀬戸大也,2011,ＪＳＳ毛呂山,1:55.94,2011年06月05日(日)
瀬戸大也,2012,ＪＳＳ毛呂山,1:51.30,2012年10月06日(土)
瀬戸大也,2013,ＪＳＳ毛呂山,1:50.93,2014年02月15日(土)
瀬戸大也,2014,早稲田大,1:48.92,2014年12月07日(日)
瀬戸大也,2015,早稲田大,1:51.65,2015年04月19日(日)
瀬戸大也,2016,早稲田大,1:49.53,2016年10月22日(土)
瀬戸大也,2017,ＡＮＡ,1:54.50,2017年05月07日(日)
瀬戸大也,2018,ＡＮＡ,1:48.24,2018年12月11日(火)
瀬戸大也,2021,TEAM DAIYA,1:50.36,2021年10月16日(土)
本多灯,2016,ATSC.YW,1:56.80,2017年03月29日(水)
本多灯,2017,ATSC.YW,1:55.91,2018年03月29日(木)
本多灯,2018,ATSC.YW,1:54.35,2018年10月27日(土)
本多灯,2019,日大藤沢,1:53.45,2019年10月26日(土)
本多灯,2020,日本大,1:52.75,2020年10月17日(土)
本多灯,2021,ATSC.YW,1:49.84,2021年10月16日(土)
