細川大輔,2008,GUNZE,1:49.52,2008年04月17日(木)
奥村幸大,2008,ｲﾄﾏﾝ,1:47.36,2008年06月06日(金)
奥村幸大,2009,ｲﾄﾏﾝ,1:47.26,2009年04月17日(金)
奥村幸大,2010,イ ト マ ン,1:47.60,2010年04月16日(金)
奥村幸大,2011,イ ト マ ン,1:48.43,2011年05月20日(金)
奥村幸大,2012,イ ト マ ン,1:49.32,2012年04月03日(火)
内田翔,2008,法政大,1:48.08,2008年09月06日(土)
内田翔,2009,群馬SS,1:46.88,2009年04月17日(金)
内田翔,2010,群馬ヤクルト,1:48.54,2010年04月16日(金)
内田翔,2011,群馬ヤクルト,1:48.18,2011年04月09日(土)
内田翔,2012,群馬ヤクルト,1:48.74,2012年04月04日(水)
松元克央,2013,日本,1:50.57,2013年08月18日(日)
松元克央,2014,千　葉,1:48.70,2014年09月12日(金)
松元克央,2015,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:49.10,2015年04月08日(水)
松元克央,2016,日本,1:47.67,2016年11月18日(金)
松元克央,2017,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:46.75,2017年06月10日(土)
松元克央,2018,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:45.92,2018年08月09日(木)
松元克央,2019,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:45.22,2019年07月23日(火)
松元克央,2020,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:45.13,2021年01月22日(金)
松元克央,2021,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,1:44.65,2021年04月05日(月)
松元克央,2022,JPN,01:46.46,2022年05月25日(水)
