,水沼尚輝,松元克央,田中大貴,川本武史,石川愼之助,西田拓郎,田中優弥,赤羽根康太,塚本康介,阪本祐也,本多灯,小堀勇気,安江貴哉,小堀勇氣,幌村尚,瀬戸大也,梅本雅之,矢島優也,和田有真,平井健太,坂井聖人,三好悠介,藤井拓郎,岸田真幸,浜谷憲周,河本耕平,池端宏文,萩野公介,砂間敬太,松田丈志,高桑健,原翔太,高安亮,前田浩史,野沢拓矢,富山貴士,金田和也,木村悠人,上野樹也,大塚一平,大野孝之,入江晋平,森龍之介,木村勇太,山野井健太,山本貴司,柴田隆一
2008,,,,,,,,,,,,53.13,,,,56.33,,,,,,,51.28,51.86,,51.77,54.79,,,53.04,,55.31,52.43,56.24,54.12,53.27,54.16,54.28,53.97,53.71,,52.4,52.92,54.3,54.42,52.62,52.79
2009,,,,55.68,,,,,,,,52.99,,,,55.72,54.73,,,55.81,,,51.48,51.83,,51.0,52.26,54.53,56.09,52.75,,54.17,52.32,53.8,53.79,52.72,52.99,52.93,53.31,53.53,52.08,52.25,52.68,52.71,52.71,,
2010,,,,55.16,,,,,,,,,,52.6,,53.77,55.1,,,55.23,55.32,56.7,51.94,51.98,,52.37,53.25,55.22,,52.77,,54.58,53.15,54.02,53.8,53.02,53.43,52.99,53.06,53.1,55.15,54.38,53.58,53.38,53.65,,
2011,,,,54.07,,,,,,,,,55.63,52.32,,,53.96,56.72,55.89,53.15,54.15,54.3,51.84,52.9,56.49,52.35,52.87,54.67,,52.25,,53.1,52.92,53.2,53.15,52.9,52.91,55.19,53.21,53.43,54.92,53.82,,53.17,53.51,,
2012,,,,53.17,,,,,,,,,53.49,52.83,,53.53,53.23,55.68,54.35,53.48,54.05,53.22,51.91,53.03,56.01,52.63,52.41,,53.95,52.36,54.65,52.43,52.74,52.83,53.07,53.58,53.23,,,,56.44,53.17,,53.52,55.08,,
2013,,55.79,,53.09,,,,56.03,,55.23,,,52.96,52.38,56.27,52.88,52.44,54.09,53.04,52.69,53.46,53.29,52.23,53.44,54.54,52.25,52.79,53.24,53.4,52.03,52.93,53.32,53.43,53.14,,,,,,,,,,53.17,55.11,,
2014,54.47,56.06,,52.08,,,,54.45,,54.36,,,52.52,53.22,53.69,52.45,52.01,53.37,53.51,52.27,53.05,52.79,51.84,53.36,53.78,52.3,51.89,52.11,52.56,52.83,52.68,53.8,53.85,53.39,,,,,53.41,,,,,53.74,,,
2015,54.52,,,51.89,54.48,,55.57,54.07,,54.27,,,52.71,53.18,53.08,52.72,52.29,53.67,53.18,52.55,52.52,52.88,51.58,52.97,53.11,52.98,53.32,,53.55,53.14,53.22,,53.31,,,,,,53.5,,,,,53.83,,,
2016,52.5,,,51.34,53.45,,54.09,53.08,55.64,53.72,55.96,,52.43,52.92,52.27,52.15,52.64,53.04,53.38,53.48,52.22,53.04,52.03,52.59,52.64,52.82,53.22,,53.31,53.91,,,53.64,,,,,,53.28,,,,,55.36,,,
2017,52.21,,53.68,52.14,52.81,,53.08,52.69,54.79,53.04,55.16,,52.32,51.69,52.03,52.51,52.26,52.51,52.45,52.21,52.44,52.48,,53.05,53.53,53.59,,52.54,53.09,,,,53.89,,,,,,,,,,,,,,
2018,51.98,,53.71,51.64,51.92,,52.54,52.63,53.69,52.82,54.63,,52.23,51.77,52.04,52.22,52.21,52.24,52.33,53.05,52.76,54.45,,53.38,53.57,53.42,,53.52,,,,,53.84,,,,,,,,,,,,,,
2019,51.43,53.34,52.36,51.62,51.11,,52.12,52.29,53.31,52.67,52.79,,51.84,51.97,52.11,51.89,52.17,52.7,52.79,,53.38,53.3,,53.07,54.25,,,,53.01,,,,54.33,,,,,,54.96,,,,,,,,
2020,51.19,51.47,53.12,51.28,52.13,,51.76,51.83,52.51,52.1,52.84,,52.39,51.66,52.08,53.12,52.96,53.07,,,55.39,53.34,,53.55,53.92,,,,,,,,53.29,,,,,,,,,,,,,,
2021,50.86,51.18,51.13,51.0,51.8,52.31,51.89,51.53,52.52,52.29,51.69,51.73,52.16,,52.57,,53.32,53.06,,,,53.34,,52.97,54.71,,,,,,,,,,,,,,,,,,,,,,
2022,50.81,51.57,51.7,51.72,51.84,51.89,52.02,52.17,52.22,52.32,52.62,,53.83,,52.49,,55.04,,,,54.88,,,,55.17,,,,,,,,,,,,,,,,,,,,,,
