,花車優,佐藤翔馬,武良竜也,廣島偉来,平河楓,深沢大和,瀬戸大也,石田竜一,毛利衛,山尾隼人,渡辺一平,大川孝明,大﨑威久馬,荒井悠太,小日向一輝,永島諒,小関也朱篤,渡辺隼斗,林和希,高橋幸大,大久保琳太郎,渡邊一輝,宮本一平,北島康介,池下尊惇,立石諒,山口観弘,押切雄大,冨田尚弥,宇都宮壱基,大塚一輝,佐藤佑樹,金子貴宏,松島圭佑,毛利一仁,末永雄太,大和田卓爾,加納雅也,島田良祐,朝日翔,堀井隆太,田中翼,天満宏,木村太輔,加藤昌宏,角川隆明
2008,,,,,,,138.79,,,,,138.02,,,144.56,,,,136.33,135.3,,,,127.51,141.19,130.33,133.32,142.91,133.67,143.35,129.97,133.83,137.17,135.69,137.05,130.17,140.7,134.04,134.89,133.41,134.71,135.07,132.91,132.92,133.5,133.57
2009,,,,,,,137.85,,,,,134.41,,,134.8,,136.08,,136.09,131.46,,,,134.31,138.93,128.64,131.95,139.48,129.32,134.36,128.64,132.16,132.27,135.67,132.22,128.77,137.91,131.81,130.2,131.19,131.59,131.61,,,,133.99
2010,,,141.18,,,,,,138.68,,,136.36,,,134.42,,137.67,137.17,136.73,134.01,138.22,137.34,,132.05,138.72,129.21,132.03,138.18,128.94,135.08,130.54,133.11,131.64,134.62,133.03,129.57,132.2,132.86,133.25,,134.35,,,,,
2011,,,137.86,,,,136.09,,134.92,,140.68,133.66,,,132.7,,134.14,137.45,137.53,133.38,134.78,135.12,,129.26,137.0,130.4,130.82,136.26,128.25,136.07,129.94,132.05,131.35,131.71,132.8,,136.85,133.05,133.76,,,,,,,
2012,,,136.38,,,,,,133.77,,136.5,134.24,,,131.84,,131.86,134.47,134.2,131.54,134.5,133.45,,128.0,136.56,128.17,127.01,133.72,131.76,132.9,130.77,131.67,132.19,132.35,135.39,,135.69,135.7,135.3,,,,,,,
2013,,,134.53,,,,124.5,,133.34,,131.72,131.53,138.17,,130.43,,131.52,132.23,132.01,131.55,133.63,132.62,137.07,131.55,133.33,130.45,129.31,131.78,131.72,131.64,133.34,,134.44,,136.13,,,134.3,135.85,134.44,,,,,,
2014,137.9,,132.83,,,137.83,130.99,,133.92,,130.23,131.89,135.31,,129.45,136.75,128.34,130.85,132.71,130.24,132.66,131.3,135.14,131.85,130.78,131.18,130.33,130.23,130.51,134.77,132.33,,136.28,,,,,133.82,136.86,131.52,,,,,,
2015,135.21,138.34,132.75,,137.64,133.95,,,131.24,,129.4,131.68,133.72,138.79,129.03,135.19,127.77,130.55,133.57,129.5,132.65,130.7,131.62,130.31,132.76,129.54,130.29,131.57,,132.43,131.96,,139.65,,,,,132.88,,136.31,,,,,,
2016,132.8,137.5,133.35,,134.3,132.9,130.05,,130.18,137.59,126.67,131.35,132.78,136.67,129.93,135.29,127.8,129.91,132.6,130.49,130.77,129.79,130.51,129.96,130.08,130.77,133.11,131.11,,135.94,131.64,,,,,,,138.8,,,,,,,,
2017,132.28,134.79,129.63,139.14,133.39,133.2,132.8,,130.1,135.59,127.44,131.77,131.32,134.57,129.96,134.87,127.18,131.45,130.56,130.55,130.28,131.68,130.51,,131.54,136.69,131.37,133.12,,,,,,,,,,138.72,,138.34,,,,,,
2018,130.86,133.22,131.38,137.23,133.48,131.34,131.29,,130.09,133.56,127.75,131.12,132.53,133.09,129.29,136.18,127.81,129.57,130.16,129.78,130.52,130.63,131.39,,132.54,,133.08,131.42,,,,,,,,,,,,,,,,,,
2019,131.16,127.58,130.05,134.37,131.61,131.98,128.98,135.43,130.83,131.43,126.73,131.59,132.26,130.84,128.42,131.98,128.49,130.41,130.88,130.99,132.63,132.32,131.9,,131.91,,134.36,,,,,,,,,,,,,,,,,,,
2020,130.1,126.74,128.15,135.88,130.41,129.51,131.0,134.01,132.56,130.64,127.08,131.86,130.14,131.61,129.66,130.75,136.36,132.53,132.84,132.63,131.25,133.57,131.81,,133.3,,,,,,,,,,,,,,,,,,,,,
2021,127.99,126.4,127.58,133.54,128.98,129.09,,131.68,131.46,129.71,128.14,130.21,130.66,130.95,132.64,,,133.42,132.09,134.54,132.05,132.57,131.24,,134.71,,,,,,,,,,,,,,,,,,,,,
2022,128.38,128.46,128.86,129.58,129.89,130.49,130.64,130.68,131.06,131.11,,,,131.72,,,,,,,131.78,,135.52,,,,,,,,,,,,,,,,,,,,,,,
