,白井璃緒,秀野由光,長岡愛海,小西杏奈,山本千晶,古林毬菜,水野柚希,竹葉智子,酒井夏海,弘中花音,赤瀬紗也香,諸貫瑛美,高橋美紀,佐々木美莉,伊与田萌々,竹内澪乃,湯原利佳,竹村幸,池江璃花子,寺本瑠美,竹迫麻澄,西脇怜奈,酒井志穂,稲田法子,辻本茉穂,山口真旺,寺川綾,神村万里恵,田部井恵理,瀧口真帆,久保木怜,伊藤華英,原田真衣,小関夏奈,酒井志穗,堀江彩香,福田智代,中村礼子,亀崎あゆみ,田中英里子,及川真沙紀
2008,,,,,,,,,,,63.03,64.47,,,,,,61.81,,,65.46,,,,64.07,64.4,60.53,63.18,61.68,64.9,64.97,59.83,62.59,64.14,59.44,62.9,61.37,59.82,62.06,62.15,62.32
2009,,,,,,,,,,,61.69,63.28,65.75,,,,,61.4,,65.41,64.19,,,,61.64,61.81,59.67,61.23,60.93,63.91,63.77,59.86,60.76,63.36,59.68,61.32,61.36,,62.38,62.32,
2010,,,,,,,,,,,61.06,62.68,64.38,,,65.26,65.69,60.46,,64.33,64.77,64.94,60.22,60.95,63.0,62.42,59.13,60.7,61.56,,62.76,61.5,61.48,62.18,,,62.47,,,,
2011,,,,63.59,,,,,,,60.81,62.11,63.72,,,64.54,65.05,60.95,,63.35,63.53,63.59,59.9,63.06,61.55,61.86,59.17,60.81,60.93,,61.74,61.25,61.44,63.05,,,62.88,,,,
2012,63.88,,,62.51,,63.05,,,,,62.27,62.29,62.71,,,62.78,62.93,61.41,,63.07,62.8,63.68,60.45,60.55,61.76,62.09,59.08,60.9,61.63,61.76,61.81,,61.82,62.15,,,,,,,
2013,62.32,,,61.61,,63.68,,,63.92,,60.48,61.35,62.29,,,62.25,63.36,62.01,,62.66,62.32,61.9,60.99,62.11,61.66,61.38,56.1,61.51,,62.34,,,62.24,63.1,,,,,,,
2014,61.82,65.48,,61.62,,63.22,,,62.22,,60.47,60.9,61.81,,65.41,63.84,62.11,60.77,64.24,62.95,61.3,61.55,60.68,61.64,61.47,61.77,,61.82,,62.42,,,,,,,,,,,
2015,61.5,63.56,,60.85,,62.83,,65.18,61.32,,60.83,60.25,61.42,,63.66,63.51,61.93,60.8,63.12,62.68,60.68,62.03,61.05,61.25,63.47,61.69,,61.72,,62.93,,,,,,,,,,,
2016,61.4,62.98,,60.65,,64.17,,65.49,60.12,,60.58,60.32,60.9,,63.12,62.62,61.88,60.18,63.62,61.46,60.72,61.5,60.7,61.45,63.62,62.12,,62.07,,63.16,,,,,,,,,,,
2017,61.18,62.03,,60.33,,62.09,,64.02,59.91,,60.88,60.17,60.8,64.38,64.09,62.98,61.59,60.73,61.46,61.27,61.11,61.25,,,65.34,62.27,,,,,,,,,,,,,,,
2018,60.66,62.37,63.29,59.62,,61.47,,62.13,59.27,64.78,60.43,59.77,61.13,63.15,62.6,62.34,60.95,61.08,60.53,60.61,,61.62,,,65.3,,,,,,,,,,,,,,,,
2019,59.43,61.94,62.76,60.74,65.22,60.36,,62.06,59.54,63.63,60.99,60.14,60.87,62.77,63.33,61.38,61.33,61.27,,,,,,,,,,,,,,,,,,,,,,,
2020,60.46,61.37,61.47,60.43,63.2,60.67,66.81,62.57,59.54,63.35,61.62,61.41,61.01,63.89,60.94,61.24,61.4,62.0,,,,,,,,,,,,,,,,,,,,,,,
2021,60.07,61.28,61.19,59.75,61.51,60.77,61.62,61.92,60.28,62.34,60.85,60.92,60.97,61.19,,,,,62.02,,,,,,,,,,,,,,,,,,,,,,
2022,60.01,60.84,60.92,60.93,61.03,61.09,61.14,61.36,61.41,61.52,62.21,,62.06,61.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
