,今井月,宮坂倖乃,中澤海凪,浅羽栞,緒方温菜,鈴木聡美,中嶋碧,楠田夢乃,石渡遥,加藤心冨,渡部香生子,青木玲緒樹,曽我部菜々,石原愛依,清水咲子,深澤舞,大橋悠依,田積帆乃果,高橋美帆,石田華子,千田舞奈美,井坂友紀,服部友香,金藤理絵,関口美咲,金指美紅,福留景子,浜野麻綾,福留尚子,齋藤咲恵,茂木美桜,川辺芙美子,藤本紗綾,佐野夏菜,細越智,福田愛美,越山あゆ美,松島美菜,田村菜々香,種田恵,野瀬瞳,黒岩紗耶,相原佳菜,村上優海
2008,,,,,,152.25,,,,,,151.03,,,152.55,,,,153.58,,,,,144.49,156.08,155.95,146.89,149.5,148.27,,155.56,149.4,147.69,158.27,150.56,148.82,148.85,147.56,146.2,143.96,150.19,149.29,147.64,148.6
2009,,,,,,145.84,,,,,,146.62,,,153.39,,,,147.3,,,,,140.72,153.53,152.08,142.78,148.61,145.31,,147.52,146.89,145.76,152.62,146.0,148.3,146.93,142.82,143.12,144.44,144.79,145.98,,146.74
2010,,,,,,144.27,,,,,145.26,150.58,,,150.82,,,,146.54,,,,154.92,143.79,151.29,149.09,144.85,147.87,146.81,,147.06,145.79,148.55,153.81,150.74,148.22,146.67,147.23,147.28,149.44,152.07,147.78,,150.87
2011,154.84,,,,,144.36,,,,,143.9,147.31,,,150.79,,,,147.72,156.09,158.19,,156.24,145.36,151.02,147.41,144.61,146.91,146.53,,145.25,148.98,146.94,147.41,146.44,146.98,147.22,148.88,147.05,147.19,148.88,148.67,,151.18
2012,147.63,154.91,,,,142.99,,,,,143.56,147.93,,,150.69,151.9,155.4,,145.45,153.65,154.0,,149.57,143.83,151.04,145.9,144.38,146.31,147.79,155.45,144.84,143.83,145.62,145.76,145.84,148.27,148.61,,146.78,151.37,151.37,149.51,,148.54
2013,144.05,149.37,,156.99,,144.8,,,,,142.46,146.88,,,150.28,151.14,,,146.45,152.83,150.03,,146.8,138.66,147.63,146.69,144.69,146.21,147.95,152.12,144.5,,,147.84,147.07,147.61,,,,,,147.97,,
2014,143.59,146.62,,153.64,,146.3,,,,,141.09,144.6,,,146.24,151.26,,,144.21,151.4,147.41,156.17,147.43,141.58,149.67,146.46,146.31,146.55,146.22,148.22,143.81,,,,148.74,,,,,,,148.13,,
2015,143.43,146.4,,149.88,155.44,146.42,,,,,140.9,144.94,,157.57,146.74,148.43,,,147.08,148.76,149.17,151.7,147.82,140.04,148.11,148.1,144.92,145.35,146.43,146.44,146.51,,,,149.98,,,,,,,146.57,,
2016,144.29,148.37,,147.21,153.56,145.72,,,155.43,,143.02,142.4,156.92,154.14,144.39,149.04,,157.47,147.01,144.78,149.48,149.36,148.82,139.65,143.42,146.7,,,152.15,147.28,150.41,,,,147.43,,,,,,,148.03,,
2017,144.93,147.43,,145.95,148.39,145.27,,,150.03,,144.15,143.24,156.11,149.77,146.0,147.34,155.06,150.28,146.41,145.79,150.01,147.07,146.68,,147.67,,,,,151.63,,,,,149.8,,,,,,,,,
2018,143.5,150.5,,145.12,148.26,142.22,,152.71,150.74,,142.88,141.85,149.11,147.29,145.76,149.06,147.14,148.44,144.97,145.02,147.97,146.96,,,148.34,,,,,153.72,,,,,147.69,,,,,,,,,
2019,145.41,147.7,154.56,145.4,146.49,145.8,,150.31,149.93,151.68,143.65,144.33,147.03,144.99,148.55,146.17,,148.28,146.05,146.09,146.18,147.47,,,148.55,,,,,155.66,,,,,154.99,,,,,,,,,
2020,146.47,145.05,152.56,144.95,145.48,148.31,,148.43,149.29,,143.15,144.7,147.31,147.45,144.97,145.24,146.3,147.26,149.17,147.8,149.1,149.23,,,151.09,,,,,,,,,,153.97,,,,,,,,,
2021,144.4,144.04,148.74,145.98,144.76,146.42,147.24,148.84,147.25,150.28,143.04,145.04,145.07,145.5,146.3,147.02,148.27,147.6,151.1,151.42,149.91,149.67,,,148.17,,,,,,,,,,153.29,,,,,,,,,
2022,143.02,145.58,145.64,145.66,145.92,146.04,146.41,146.42,146.46,146.55,147.22,,149.44,148.21,,,,147.3,,152.23,,149.4,,,,,,,,,,,,,154.85,,,,,,,,,
