,林希菜,三井愛梨,内田かりん,山岸琴美,藤本穏,牧野紘子,水口知保,奥園心咲,長森流楓,長谷川涼香,谷川亜華葉,中野未夢,大橋悠依,何澤由衣,持田早智,清水咲子,武山月美,内藤万愛,竹葉智子,小林奈央,菊地愉友,藪美涼,西村麻亜,平野香緒里,平田美幸,星奈津美,大塚美優,奈良梨花,伊藤悠乃,藤田湖奈,三輪彩奈,渡辺耶唯,保志場慶,杉野紘子,菊池優奈,打越雅美,加藤ゆか,保坂知世,重信藤乃,眞継奈緒子,廣瀬夏希,秋山夏希,矢野友理江,大石恵梨,正田千登勢,肱岡紗也佳,勝山海輝,福田智代,宮本悠衣,中西悠子,南園遥,飯窪麻未,土橋知佳,春口沙緒里
2008,,,,,,,,,,,,,,,,,,,,,,,,,,126.85,135.32,,,138.28,131.46,131.08,136.83,135.26,,136.18,130.97,132.43,133.65,128.83,133.93,126.62,127.69,131.46,134.07,130.33,,,128.43,126.38,132.32,129.75,133.42,129.53
2009,,,,,,,,,,,,,,,,,,,,133.19,,,,,,126.44,133.15,,,134.59,131.94,128.88,131.76,132.04,134.44,,132.33,131.5,133.35,129.48,133.9,126.85,130.23,129.63,131.26,130.16,131.52,,126.73,127.51,129.3,129.97,130.01,
2010,,,,,,,,,,,,,,,,,,,,131.69,,139.35,,134.39,,127.27,134.81,,,133.98,134.43,131.83,133.0,130.32,134.48,132.57,131.81,133.4,133.25,130.46,132.3,129.53,130.33,130.68,130.93,131.09,131.46,131.56,,,132.62,,132.13,
2011,,,,,,,,,,,,134.27,,,,135.22,,,,130.24,,136.78,,132.0,,126.05,130.96,136.14,,130.64,132.75,132.28,130.35,131.13,133.12,131.94,129.59,130.9,130.08,130.31,131.05,134.34,131.66,134.32,,,132.42,131.89,,,134.74,,132.57,
2012,,,,,,,,,,133.71,,131.03,,,,,135.11,,,130.13,,129.59,,132.11,,124.69,130.62,133.0,134.46,129.17,130.53,129.96,129.34,130.01,132.42,129.24,129.57,130.27,,133.14,131.63,,131.33,135.61,,,135.34,,,,136.3,,133.64,
2013,137.99,,138.99,,,137.09,,,,130.73,,130.03,,,137.06,132.38,135.69,,,130.24,,128.97,,132.26,,126.12,129.74,131.04,130.77,129.59,130.82,130.58,129.49,129.96,130.62,133.85,,134.17,,,131.55,,,136.85,,,,,,,,,,
2014,133.46,,139.04,,,,139.73,,,127.89,,128.18,,,138.46,129.19,131.08,,,130.13,,129.5,,130.09,,125.98,132.76,132.0,129.02,130.33,131.23,129.56,,,130.75,,,,,,136.25,,,137.78,,,,,,,,,,
2015,131.95,,137.3,,,,137.29,,,127.99,,128.11,,,138.71,129.36,131.8,,,128.08,,129.88,131.68,131.81,138.14,125.56,130.4,131.02,129.59,130.42,130.51,130.73,,135.05,132.86,,,,,,,,,,,,,,,,,,,
2016,132.22,138.95,134.5,,,126.92,135.29,,,126.0,,129.09,,137.0,129.99,130.32,133.2,135.79,,129.43,138.16,132.01,131.18,131.18,132.17,125.2,128.91,130.57,131.01,134.79,132.46,131.4,,,132.73,,,,,,,,,,,,,,,,,,,
2017,132.81,134.27,133.38,138.46,,127.15,131.64,,,126.29,,129.51,132.37,137.29,129.04,131.54,132.15,131.7,132.29,130.18,131.22,130.38,130.89,130.91,131.14,,133.05,131.38,131.48,,,132.71,,,134.23,,,,,,,,,,,,,,,,,,,
2018,132.08,130.23,131.28,138.65,139.05,129.02,131.25,,139.41,127.33,,128.32,127.03,133.64,127.66,129.56,130.47,130.33,129.58,129.65,130.33,132.34,131.1,132.15,133.93,,135.23,131.2,133.88,,,,,,,,,,,,,,,,,,,,,,,,,
2019,129.5,129.63,130.15,133.36,132.63,127.32,131.32,,135.24,127.21,132.96,131.0,127.57,131.29,128.96,129.87,130.82,130.83,132.12,131.11,131.29,,130.85,,132.01,,,131.41,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,128.56,131.92,128.89,130.42,130.28,127.88,129.66,,132.65,125.62,132.89,131.22,130.54,131.3,131.32,132.58,134.07,132.56,132.48,131.37,132.22,,132.94,,134.03,,,133.12,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,126.41,128.82,129.5,127.92,129.88,128.66,128.22,133.77,131.47,127.24,130.13,130.17,131.57,132.37,131.81,,,,133.73,,,,131.14,,131.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,127.27,127.82,128.64,128.7,129.3,129.43,130.45,130.73,131.07,131.26,131.67,133.54,131.56,133.68,,,,,132.93,,,,131.73,,131.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
